[Speed Sensor] Speed | Speed: 53.37 km/h | Timestamp: 2024-11-29 05:17:05
[Vehicle Count Sensor] Vehicle Count | Vehicles: 43 | Timestamp: 2024-11-29 05:17:05
[Temperature Sensor 1] Temperature | Temperature: 0.00°C | Timestamp: 2024-11-29 05:17:05
[Speed Sensor] Speed | Speed: 35.52 km/h | Timestamp: 2024-11-29 05:17:11
[Vehicle Count Sensor] Vehicle Count | Vehicles: 6 | Timestamp: 2024-11-29 05:17:11
[Temperature Sensor 1] Temperature | Temperature: 0.00°C | Timestamp: 2024-11-29 05:17:11
[Speed Sensor] Speed | Speed: 86.89 km/h | Timestamp: 2024-11-29 05:17:17
[Vehicle Count Sensor] Vehicle Count | Vehicles: 188 | Timestamp: 2024-11-29 05:17:17
[Temperature Sensor 1] Temperature | Temperature: 0.00°C | Timestamp: 2024-11-29 05:17:17
[Speed Sensor] Speed | Speed: 99.47 km/h | Timestamp: 2024-11-29 05:17:23
[Vehicle Count Sensor] Vehicle Count | Vehicles: 139 | Timestamp: 2024-11-29 05:17:23
[Temperature Sensor 1] Temperature | Temperature: 0.00°C | Timestamp: 2024-11-29 05:17:23
[Speed Sensor] Speed | Speed: 96.52 km/h | Timestamp: 2024-11-29 05:17:30
[Vehicle Count Sensor] Vehicle Count | Vehicles: 169 | Timestamp: 2024-11-29 05:17:30
[Temperature Sensor 1] Temperature | Temperature: 0.00°C | Timestamp: 2024-11-29 05:17:30
[Speed Sensor] Speed | Speed: 85.34 km/h | Timestamp: 2024-11-29 05:17:36
[Vehicle Count Sensor] Vehicle Count | Vehicles: 117 | Timestamp: 2024-11-29 05:17:36
[Temperature Sensor 1] Temperature | Temperature: 0.00°C | Timestamp: 2024-11-29 05:17:36
[Speed Sensor] Speed | Speed: 69.51 km/h | Timestamp: 2024-11-29 05:17:42
[Vehicle Count Sensor] Vehicle Count | Vehicles: 72 | Timestamp: 2024-11-29 05:17:42
[Temperature Sensor 1] Temperature | Temperature: 0.00°C | Timestamp: 2024-11-29 05:17:42
[Speed Sensor] Speed | Speed: 62.82 km/h | Timestamp: 2024-11-29 05:17:48
[Vehicle Count Sensor] Vehicle Count | Vehicles: 29 | Timestamp: 2024-11-29 05:17:48
[Temperature Sensor 1] Temperature | Temperature: 0.00°C | Timestamp: 2024-11-29 05:17:48
[Speed Sensor] Speed | Speed: 61.01 km/h | Timestamp: 2024-11-29 05:17:54
[Vehicle Count Sensor] Vehicle Count | Vehicles: 103 | Timestamp: 2024-11-29 05:17:54
[Temperature Sensor 1] Temperature | Temperature: 0.00°C | Timestamp: 2024-11-29 05:17:54
[Speed Sensor] Speed | Speed: 97.01 km/h | Timestamp: 2024-11-29 05:18:00
[Vehicle Count Sensor] Vehicle Count | Vehicles: 193 | Timestamp: 2024-11-29 05:18:00
[Temperature Sensor 1] Temperature | Temperature: 0.00°C | Timestamp: 2024-11-29 05:18:00
[Speed Sensor] Speed | Speed: 51.62 km/h | Timestamp: 2024-11-29 05:18:06
[Vehicle Count Sensor] Vehicle Count | Vehicles: 95 | Timestamp: 2024-11-29 05:18:06
[Temperature Sensor 1] Temperature | Temperature: 0.00°C | Timestamp: 2024-11-29 05:18:06
[Speed Sensor] Speed | Speed: 90.09 km/h | Timestamp: 2024-11-29 05:19:46
[Vehicle Count Sensor] Vehicle Count | Vehicles: 118 | Timestamp: 2024-11-29 05:19:46
[Temperature Sensor 1] Temperature | Temperature: 0.00°C | Timestamp: 2024-11-29 05:19:46
[Speed Sensor] Speed | Speed: 79.36 km/h | Timestamp: 2024-11-29 05:19:52
[Vehicle Count Sensor] Vehicle Count | Vehicles: 197 | Timestamp: 2024-11-29 05:19:52
[Temperature Sensor 1] Temperature | Temperature: 0.00°C | Timestamp: 2024-11-29 05:19:52
[Speed Sensor] Speed | Speed: 81.90 km/h | Timestamp: 2024-11-29 05:19:58
[Vehicle Count Sensor] Vehicle Count | Vehicles: 181 | Timestamp: 2024-11-29 05:19:58
[Temperature Sensor 1] Temperature | Temperature: 0.00°C | Timestamp: 2024-11-29 05:19:58
[Speed Sensor] Speed | Speed: 50.96 km/h | Timestamp: 2024-11-29 05:20:04
[Vehicle Count Sensor] Vehicle Count | Vehicles: 51 | Timestamp: 2024-11-29 05:20:04
[Temperature Sensor 1] Temperature | Temperature: 0.00°C | Timestamp: 2024-11-29 05:20:04
[Speed Sensor] Speed | Speed: 97.94 km/h | Timestamp: 2024-11-29 05:20:10
[Vehicle Count Sensor] Vehicle Count | Vehicles: 146 | Timestamp: 2024-11-29 05:20:10
[Temperature Sensor 1] Temperature | Temperature: 0.00°C | Timestamp: 2024-11-29 05:20:10
[Speed Sensor] Speed | Speed: 45.73 km/h | Timestamp: 2024-11-29 05:20:16
[Vehicle Count Sensor] Vehicle Count | Vehicles: 121 | Timestamp: 2024-11-29 05:20:16
[Temperature Sensor 1] Temperature | Temperature: 0.00°C | Timestamp: 2024-11-29 05:20:16
[Speed Sensor] Speed | Speed: 90.31 km/h | Timestamp: 2024-11-29 05:20:22
[Vehicle Count Sensor] Vehicle Count | Vehicles: 80 | Timestamp: 2024-11-29 05:20:22
[Temperature Sensor 1] Temperature | Temperature: 0.00°C | Timestamp: 2024-11-29 05:20:22
[Speed Sensor] Speed | Speed: 44.29 km/h | Timestamp: 2024-11-29 05:20:28
[Vehicle Count Sensor] Vehicle Count | Vehicles: 11 | Timestamp: 2024-11-29 05:20:28
[Temperature Sensor 1] Temperature | Temperature: 0.00°C | Timestamp: 2024-11-29 05:20:28
[Speed Sensor] Speed | Speed: 30.00 km/h | Timestamp: 2024-11-29 05:20:34
[Vehicle Count Sensor] Vehicle Count | Vehicles: 8 | Timestamp: 2024-11-29 05:20:34
[Temperature Sensor 1] Temperature | Temperature: 0.00°C | Timestamp: 2024-11-29 05:20:34
[Speed Sensor] Speed | Speed: 39.76 km/h | Timestamp: 2024-11-29 05:20:40
[Vehicle Count Sensor] Vehicle Count | Vehicles: 40 | Timestamp: 2024-11-29 05:20:40
[Temperature Sensor 1] Temperature | Temperature: 0.00°C | Timestamp: 2024-11-29 05:20:40
[Speed Sensor] Speed | Speed: 49.13 km/h | Timestamp: 2024-11-29 05:20:46
[Vehicle Count Sensor] Vehicle Count | Vehicles: 81 | Timestamp: 2024-11-29 05:20:46
